temp,mudweight,gel30min,tauy,m,K,fluidloss
50.00,9.40,28.00,2.05,0.51,0.82,5.70
48.00,9.60,30.00,2.40,0.54,0.65,6.00
45.00,9.10,21.00,1.16,0.61,0.33,5.80
51.00,9.35,27.00,1.09,0.61,0.35,6.00
50.00,9.30,32.00,1.46,0.61,0.39,6.40
51.00,9.40,29.00,1.66,0.62,0.33,6.50
20.00,9.70,9.00,0.74,0.74,0.12,5.10
20.00,10.40,13.00,1.30,0.70,0.17,6.90
41.00,10.80,29.00,2.54,0.73,0.17,4.60
31.00,9.15,11.00,1.79,0.63,0.34,6.20
32.00,9.20,11.00,1.54,0.62,0.35,6.40
33.00,9.20,10.00,2.11,0.65,0.32,6.00
33.00,9.20,10.00,1.97,0.61,0.39,6.40
37.00,9.00,38.00,1.68,0.63,0.31,7.40
45.00,8.80,23.00,1.03,0.52,0.53,7.20
54.00,8.90,29.00,1.79,0.53,0.52,8.10
38.00,9.70,33.00,1.54,0.60,0.38,6.00
40.00,9.70,35.00,2.61,0.64,0.33,6.20
41.00,9.80,39.00,2.60,0.63,0.34,6.20
44.00,9.80,32.00,3.07,0.63,0.35,6.20
47.00,10.10,40.00,3.20,0.60,0.49,6.70
47.00,10.10,41.00,2.59,0.60,0.52,6.00
48.00,10.10,44.00,3.10,0.60,0.52,6.40
49.00,10.10,39.00,1.94,0.58,0.58,7.10
38.40,9.90,24.00,1.89,0.65,0.30,5.90
39.00,9.90,26.00,1.74,0.66,0.28,5.70
40.70,9.80,29.00,2.19,0.62,0.40,6.20
41.00,9.80,29.00,1.83,0.63,0.34,6.10
20.00,9.00,8.00,0.91,0.70,0.21,5.60
30.00,8.90,8.00,0.70,0.62,0.30,5.80
35.00,9.00,9.00,0.64,0.54,0.54,5.40
39.00,9.00,9.00,1.45,0.64,0.24,5.30
27.00,9.30,34.00,2.59,0.60,0.21,11.40
27.00,9.30,42.00,3.50,0.63,0.24,9.20
28.00,9.50,49.00,4.01,0.65,0.22,6.40
36.00,9.40,53.00,2.76,0.59,0.48,5.80
37.00,9.40,53.00,2.75,0.63,0.31,6.00
37.00,9.40,68.00,2.87,0.60,0.45,6.00
37.00,9.40,75.00,3.57,0.57,0.57,6.00
51.00,9.30,21.00,1.53,0.57,0.40,7.00
52.00,9.40,32.00,2.10,0.54,0.59,6.50
50.00,9.40,34.00,2.65,0.56,0.54,6.00
53.00,9.60,37.00,1.76,0.49,0.85,6.40
55.00,9.80,50.00,2.93,0.60,0.42,6.90
53.00,9.70,45.00,3.09,0.61,0.36,7.80
53.00,9.70,47.00,3.34,0.62,0.29,8.30
57.00,9.60,60.00,5.74,0.65,0.29,8.50
41.00,9.10,19.00,1.15,0.61,0.33,5.80
41.00,9.10,16.00,0.91,0.65,0.23,5.90
40.00,9.10,16.00,1.46,0.66,0.21,6.00
42.00,9.20,24.00,2.15,0.63,0.32,5.90
37.00,8.90,35.00,1.52,0.61,0.36,6.60
41.00,9.10,30.00,0.74,0.56,0.51,6.40
40.00,9.10,28.00,1.07,0.59,0.38,6.20
39.00,9.10,29.00,0.85,0.58,0.44,6.40
44.00,9.10,15.00,1.26,0.57,0.34,5.90
43.00,9.20,25.00,2.63,0.61,0.35,6.00
43.00,9.20,29.00,3.17,0.63,0.32,6.20
54.00,9.70,34.00,4.02,0.58,0.58,6.00
56.00,9.70,37.00,1.60,0.52,0.87,6.40
55.00,9.80,34.00,0.92,0.52,0.84,6.50
58.00,9.80,33.00,0.87,0.50,0.91,6.50
47.00,9.40,25.00,2.02,0.67,0.20,6.50
47.00,9.40,24.00,1.27,0.64,0.28,6.30
48.00,9.40,26.00,1.27,0.64,0.28,6.20
49.00,9.40,32.00,1.68,0.63,0.31,6.50
45.00,11.20,50.00,3.49,0.72,0.20,5.40
56.00,11.70,89.00,4.25,0.73,0.20,5.90
53.00,12.00,83.00,5.69,0.77,0.14,7.10
48.00,8.75,6.00,0.63,0.67,0.14,8.20
56.00,8.75,7.00,0.50,0.64,0.19,8.20
57.00,8.85,8.00,0.65,0.59,0.34,7.90
32.00,9.30,11.00,2.36,0.63,0.32,6.20
30.00,9.30,15.00,2.44,0.61,0.40,6.40
57.00,8.90,27.00,1.31,0.53,0.52,7.90
55.00,8.95,32.00,1.86,0.51,0.72,6.90
55.00,8.90,42.00,2.40,0.52,0.77,6.50
44.00,9.90,47.00,3.45,0.64,0.38,6.10
43.00,9.90,41.00,1.91,0.60,0.42,6.60
48.00,10.10,40.00,2.05,0.59,0.55,6.60
49.00,10.00,42.00,2.08,0.60,0.52,6.40
49.00,10.20,43.00,2.18,0.60,0.49,7.00
49.00,10.10,47.00,2.83,0.62,0.42,6.90
39.80,10.00,30.00,1.89,0.65,0.30,6.10
39.00,10.10,30.00,1.74,0.66,0.28,6.40
40.70,9.80,29.00,2.19,0.62,0.40,6.20
41.00,9.80,29.00,1.83,0.63,0.34,6.10
40.00,9.00,11.00,2.48,0.66,0.21,5.00
40.00,9.30,18.00,2.62,0.61,0.35,5.00
42.00,9.30,23.00,3.56,0.61,0.45,4.80
48.00,9.30,23.00,3.75,0.64,0.36,4.80
29.00,9.60,55.00,5.08,0.67,0.19,6.20
34.00,9.75,64.00,4.48,0.66,0.23,6.30
38.00,9.40,75.00,3.31,0.59,0.47,6.50
37.00,9.40,67.00,2.69,0.58,0.51,7.10
39.00,9.60,64.00,2.66,0.58,0.51,6.80
40.00,9.70,67.00,3.34,0.60,0.45,6.80
55.00,9.70,68.00,2.52,0.60,0.39,7.80
53.00,9.60,34.00,1.87,0.50,0.81,7.00
54.00,9.60,32.00,2.46,0.57,0.50,6.80
54.00,9.70,45.00,2.15,0.54,0.64,6.60
53.00,9.70,47.00,3.34,0.62,0.29,8.30
42.00,9.20,20.00,1.63,0.62,0.34,5.90
43.00,9.10,19.00,1.68,0.63,0.31,5.80
45.00,9.20,26.00,2.13,0.62,0.33,6.00
44.00,9.30,24.00,2.13,0.62,0.33,5.90
41.00,9.20,35.00,1.29,0.57,0.47,6.50
47.00,9.20,34.00,1.95,0.60,0.41,6.40
45.00,9.30,43.00,2.73,0.60,0.49,6.20
43.00,9.30,41.00,3.01,0.62,0.37,6.10
43.00,9.40,36.00,2.41,0.62,0.41,6.60
47.00,9.40,45.00,2.93,0.60,0.42,6.90
46.00,9.30,34.00,1.58,0.59,0.38,7.40
49.00,9.30,34.00,2.34,0.64,0.26,7.80
50.00,9.70,23.00,1.46,0.61,0.39,6.20
54.00,9.70,29.00,1.44,0.59,0.42,6.30
50.00,9.80,37.00,1.85,0.58,0.53,6.80
51.00,9.70,35.00,1.44,0.57,0.50,6.70
42.00,8.80,29.00,0.62,0.60,0.35,7.70
45.00,8.80,22.00,0.85,0.58,0.44,7.60
45.00,8.80,23.00,1.97,0.61,0.39,7.60
45.00,9.40,27.00,1.27,0.64,0.28,6.00
48.00,8.90,14.00,0.07,0.52,0.59,7.70
48.00,8.90,13.00,0.65,0.59,0.34,7.80
49.00,8.90,10.00,0.72,0.59,0.31,7.80
31.00,9.20,13.00,2.06,0.60,0.45,6.30
57.00,8.90,42.00,2.57,0.56,0.58,6.80
58.00,8.90,46.00,2.17,0.54,0.65,6.60
55.00,9.00,38.00,1.52,0.52,0.63,7.10
39.00,10.00,31.00,2.64,0.69,0.23,7.10
39.50,10.10,35.00,3.07,0.63,0.44,7.30
40.70,9.80,29.00,2.19,0.62,0.40,6.20
41.00,9.80,29.00,1.83,0.63,0.34,6.10
49.00,9.30,24.00,4.09,0.62,0.43,4.70
47.00,9.40,23.00,4.09,0.62,0.43,4.60
48.00,9.50,25.00,4.27,0.60,0.55,4.60
34.00,9.70,70.00,5.18,0.67,0.18,7.20
38.00,9.50,66.00,5.87,0.68,0.13,9.60
40.00,9.40,47.00,2.24,0.63,0.15,9.40
40.00,9.70,64.00,1.63,0.57,0.54,6.80
41.00,9.80,74.00,2.79,0.60,0.46,6.80
42.00,9.80,71.00,3.18,0.64,0.31,7.00
57.00,9.60,63.00,1.79,0.56,0.47,7.00
57.00,9.70,64.00,2.61,0.70,0.17,7.10
54.00,9.70,45.00,2.15,0.54,0.64,6.60
53.00,9.70,47.00,3.34,0.62,0.29,8.30
44.00,9.30,26.00,1.44,0.60,0.41,6.00
46.00,9.30,26.00,1.62,0.62,0.33,6.00
47.00,9.30,23.00,1.60,0.61,0.35,6.00
55.00,9.40,46.00,1.99,0.62,0.37,7.00
58.00,9.60,56.00,2.18,0.58,0.51,7.20
45.00,8.90,24.00,1.85,0.60,0.45,6.90
47.00,8.90,32.00,1.71,0.55,0.77,7.00
46.00,9.00,23.00,0.90,0.58,0.50,6.60
45.00,9.00,29.00,1.55,0.55,0.67,6.50
45.00,9.40,27.00,1.27,0.64,0.28,6.00
42.00,8.90,9.00,0.86,0.63,0.25,7.20
44.00,9.00,8.00,0.90,0.63,0.24,7.00
45.00,9.05,9.00,1.01,0.65,0.20,7.10
57.00,9.00,52.00,2.22,0.55,0.54,6.90
55.00,9.00,22.00,2.15,0.51,0.60,7.10
34.00,9.00,6.00,0.55,0.81,0.03,11.50
48.00,10.05,36.00,1.26,0.60,0.45,6.50
40.70,10.30,38.00,3.76,0.66,0.36,7.40
39.30,10.40,41.00,2.78,0.65,0.35,7.30
38.00,9.90,37.00,3.16,0.69,0.22,7.10
41.30,10.00,38.00,2.79,0.66,0.34,7.80
51.00,9.40,25.00,26.22,0.03,1.72,4.90
46.00,9.50,23.00,2.85,0.58,0.54,4.80
47.00,9.50,23.00,2.90,0.60,0.49,5.00
52.00,9.50,26.00,3.70,0.59,0.58,5.00
38.00,9.40,45.00,1.41,0.53,0.31,9.50
39.00,9.40,57.00,4.06,0.72,0.06,9.70
40.00,9.35,47.00,2.90,0.71,0.09,8.90
43.00,9.40,50.00,2.67,0.64,0.18,8.00
39.00,9.70,65.00,2.44,0.61,0.40,6.90
41.00,9.80,70.00,4.81,0.66,0.27,6.80
43.00,9.90,73.00,2.52,0.58,0.55,6.90
43.00,9.90,66.00,2.48,0.63,0.37,6.90
59.00,9.80,73.00,2.57,0.56,0.58,7.60
57.00,9.70,64.00,3.05,0.67,0.17,8.40
64.00,9.80,91.00,3.38,0.39,1.50,9.10
54.00,8.70,14.00,0.66,0.67,0.14,11.40
55.00,9.10,39.00,1.18,0.70,0.13,13.00
62.00,9.10,40.00,0.84,0.74,0.09,12.90
47.00,9.20,25.00,1.60,0.61,0.35,6.10
49.00,9.30,29.00,1.95,0.60,0.41,5.80
52.00,9.40,31.00,1.97,0.61,0.39,6.40
52.00,9.40,28.00,1.97,0.61,0.39,6.30
46.00,9.10,36.00,1.85,0.60,0.45,6.10
48.00,9.10,34.00,2.50,0.56,0.61,7.40
50.00,9.15,29.00,1.69,0.56,0.54,7.60
47.00,9.20,33.00,4.21,0.61,0.42,7.00
29.00,12.00,18.00,3.41,0.73,0.27,5.80
28.00,12.40,19.00,2.79,0.73,0.25,5.90
32.00,12.60,18.00,4.06,0.73,0.25,6.30
41.90,10.00,33.00,2.86,0.63,0.34,8.00
44.20,10.10,33.00,2.81,0.62,0.37,7.30
45.00,10.10,30.00,2.61,0.68,0.25,7.60
41.30,10.20,38.00,2.84,0.62,0.36,7.60
47.00,9.50,22.00,2.98,0.60,0.48,5.00
43.00,9.60,19.00,2.41,0.62,0.41,5.00
42.00,9.70,18.00,2.05,0.63,0.36,4.80
41.00,9.60,20.00,2.72,0.63,0.38,4.70
41.00,9.45,65.00,5.08,0.59,0.24,8.70
45.00,9.40,62.00,9.15,0.63,0.23,7.60
46.00,9.40,62.00,8.37,0.70,0.12,7.60
48.00,9.40,64.00,5.96,0.60,0.28,7.30
44.00,10.00,70.00,1.32,0.61,0.43,6.50
41.00,9.70,61.00,1.02,0.59,0.38,7.20
41.00,9.70,54.00,1.03,0.59,0.38,6.80
40.00,9.70,56.00,0.93,0.60,0.41,6.50
59.00,9.60,80.00,8.75,0.86,0.03,9.60
57.00,9.60,64.00,3.47,0.60,0.25,9.80
54.00,9.40,68.00,0.23,0.61,0.29,10.90
54.00,9.50,24.00,1.29,0.57,0.47,6.10
53.00,9.50,16.00,1.54,0.60,0.38,6.20
52.00,9.50,26.00,1.50,0.60,0.38,6.50
63.00,9.30,23.00,0.36,0.34,2.95,9.80
47.00,9.20,34.00,6.13,0.67,0.26,7.50
48.00,9.40,33.00,3.72,0.58,0.51,7.40
47.00,9.40,22.00,1.14,0.57,0.44,6.20
44.00,9.40,26.00,2.75,0.62,0.37,5.70
52.00,9.20,80.00,4.70,0.90,0.02,14.00
46.00,9.50,12.00,1.18,0.71,0.14,7.00
56.00,9.60,12.00,1.23,0.71,0.13,7.00
34.00,12.60,17.00,3.78,0.71,0.26,6.40
33.00,12.55,21.00,3.06,0.71,0.25,5.90
41.00,12.60,25.00,4.93,0.63,0.49,5.70
35.00,9.10,12.00,2.11,0.57,0.54,6.00
49.00,9.50,29.00,1.09,0.66,0.19,10.10
48.00,10.05,36.00,1.26,0.60,0.46,6.50
43.90,10.00,35.00,3.21,0.62,0.39,7.60
43.10,10.10,37.00,3.97,0.62,0.39,7.60
47.00,10.20,29.00,4.69,0.63,0.39,7.30
47.30,10.30,40.00,4.08,0.58,0.56,7.30
42.00,9.60,25.00,2.66,0.62,0.41,5.00
39.00,9.70,30.00,2.56,0.62,0.43,5.20
41.00,9.70,33.00,2.52,0.63,0.37,5.20
49.00,9.70,42.00,3.62,0.58,0.60,5.20
49.00,9.45,66.00,5.16,0.55,0.41,7.20
51.00,9.50,71.00,6.71,0.65,0.19,7.80
52.00,9.50,63.00,6.34,0.70,0.13,8.00
50.00,9.50,72.00,7.97,0.62,0.29,7.60
41.00,9.60,42.00,0.17,0.61,0.32,6.60
42.00,9.70,42.00,0.48,0.60,0.38,6.50
44.00,9.75,48.00,0.24,0.59,0.47,6.70
41.00,9.85,61.00,0.60,0.56,0.71,6.80
59.00,9.60,80.00,8.75,0.86,0.03,9.60
57.00,9.60,64.00,3.47,0.60,0.25,9.80
44.00,9.60,72.00,1.52,0.61,0.36,10.90
56.00,9.40,59.00,0.76,0.64,0.26,10.10
54.00,9.60,54.00,1.11,0.62,0.34,9.20
54.00,9.70,62.00,1.36,0.60,0.42,9.10
55.00,9.70,68.00,1.09,0.64,0.33,8.70
52.00,9.50,26.00,1.50,0.60,0.38,6.50
50.00,9.50,39.00,2.44,0.56,0.60,5.70
46.00,9.40,38.00,3.34,0.60,0.45,5.80
47.00,9.80,14.00,1.05,0.66,0.20,7.80
51.00,9.80,11.00,1.22,0.71,0.13,7.80
51.00,10.00,15.00,1.60,0.71,0.17,6.50
52.00,10.10,19.00,2.03,0.70,0.20,6.80
50.00,12.70,43.00,5.06,0.61,0.63,6.00
59.00,12.50,26.00,1.96,0.60,0.48,5.80
57.00,12.40,29.00,2.50,0.61,0.46,6.00
33.00,9.10,11.00,2.10,0.59,0.44,6.00
35.00,9.10,10.00,1.54,0.61,0.38,5.80
54.00,9.50,35.00,1.55,0.65,0.19,9.90
52.00,9.70,29.00,1.00,0.64,0.21,10.00
50.00,9.60,21.00,0.58,0.64,0.20,10.60
48.00,9.50,18.00,0.45,0.61,0.25,9.90
47.00,10.30,39.00,4.49,0.62,0.39,7.30
46.20,10.30,41.00,3.97,0.62,0.39,7.00
51.00,10.30,38.00,4.33,0.59,0.47,7.00
50.00,10.20,45.00,6.40,0.70,0.19,7.10
49.00,9.70,42.00,2.89,0.61,0.43,5.80
38.00,9.50,25.00,1.73,0.72,0.12,6.00
40.00,10.00,70.00,1.35,0.57,0.78,6.40
43.00,10.05,51.00,0.18,0.55,0.71,6.20
43.00,10.10,53.00,0.13,0.59,0.49,6.50
42.00,10.00,29.00,0.67,0.64,0.29,6.20
48.00,9.60,79.00,1.42,0.60,0.40,10.60
48.00,9.70,46.00,0.87,0.64,0.24,10.50
48.00,9.70,41.00,0.28,0.59,0.45,8.00
49.00,9.70,38.00,0.34,0.60,0.42,8.10
50.00,9.70,50.00,0.76,0.54,0.51,8.80
54.00,9.90,53.00,0.99,0.60,0.38,8.00
52.00,9.50,26.00,1.50,0.60,0.38,6.50
48.00,9.30,22.00,0.00,0.34,2.64,8.70
52.00,9.20,19.00,0.00,0.36,2.10,9.40
52.00,9.30,24.00,1.60,0.41,1.47,8.10
59.00,10.05,38.00,0.73,0.37,2.71,8.60
60.00,10.10,67.00,3.00,0.41,2.06,8.20
46.00,9.50,39.00,5.03,0.59,0.50,5.70
47.00,9.50,47.00,3.06,0.57,0.57,5.80
43.00,9.40,40.00,2.66,0.59,0.52,5.40
39.00,9.80,32.00,2.72,0.67,0.28,5.70
52.00,10.20,19.00,2.10,0.72,0.16,6.60
53.00,10.30,15.00,1.51,0.69,0.19,6.80
53.00,10.30,23.00,1.98,0.69,0.20,6.90
54.00,10.20,20.00,2.10,0.72,0.16,6.40
57.00,12.40,29.00,2.50,0.61,0.46,6.00
35.00,9.10,10.00,1.54,0.61,0.38,5.80
29.00,9.20,23.00,0.93,0.59,0.27,7.60
36.00,9.40,22.00,1.86,0.62,0.26,6.40
37.00,9.30,16.00,1.53,0.62,0.22,7.40
49.20,10.30,36.00,7.80,0.68,0.21,7.90
48.00,10.30,38.00,6.86,0.69,0.18,7.40
48.00,10.40,39.00,4.13,0.57,0.46,7.50
48.30,10.30,37.00,5.88,0.71,0.17,7.90
49.00,9.70,42.00,2.89,0.61,0.43,5.80
40.00,9.60,52.00,1.00,0.59,0.41,6.00
37.00,9.60,14.00,0.73,0.70,0.13,5.20
41.00,10.10,40.00,0.97,0.62,0.37,6.00
42.00,10.05,50.00,0.77,0.57,0.64,5.90
45.00,10.05,44.00,0.64,0.59,0.49,5.80
45.00,10.05,49.00,0.81,0.58,0.61,5.40
50.00,9.70,43.00,0.64,0.56,0.54,7.60
51.00,9.70,37.00,0.52,0.62,0.35,7.50
52.00,9.80,28.00,1.01,0.61,0.36,6.90
54.00,9.80,30.00,0.24,0.58,0.48,7.40
57.00,9.90,66.00,1.83,0.66,0.25,8.70
54.00,9.90,65.00,0.95,0.56,0.44,9.20
54.00,9.90,66.00,1.10,0.58,0.37,9.30
57.00,10.00,56.00,1.21,0.62,0.30,8.90
60.00,10.10,67.00,3.01,0.41,2.06,8.20
45.00,9.90,34.00,3.90,0.64,0.36,5.70
46.00,9.80,38.00,3.40,0.63,0.40,5.60
47.00,9.85,30.00,2.82,0.68,0.25,5.80
47.00,9.80,33.00,3.40,0.63,0.40,5.80
54.00,10.30,19.00,1.98,0.68,0.21,6.30
54.00,10.50,15.00,1.60,0.71,0.17,6.40
56.00,10.60,24.00,1.94,0.68,0.22,6.70
57.00,10.60,31.00,2.52,0.70,0.19,7.00
57.00,12.40,29.00,2.50,0.61,0.46,6.00
35.00,9.10,10.00,1.54,0.61,0.38,5.80
43.00,9.40,17.00,1.33,0.61,0.28,7.50
44.00,9.50,17.00,1.59,0.55,0.40,6.80
48.00,9.70,20.00,1.82,0.59,0.37,7.10
48.00,9.70,22.00,1.23,0.57,0.50,7.60
45.00,9.80,27.00,0.49,0.72,0.06,13.80
46.00,9.90,15.00,0.60,0.84,0.03,16.60
45.00,10.00,12.00,0.83,0.74,0.09,9.60
47.00,10.10,22.00,1.51,0.69,0.19,7.30
41.80,10.30,27.00,7.80,0.68,0.21,7.80
48.00,10.40,41.00,5.53,0.61,0.42,7.80
48.20,10.50,35.00,4.12,0.62,0.36,7.90
48.30,10.40,33.00,5.84,0.71,0.18,8.10
37.00,9.60,14.00,0.73,0.70,0.13,5.20
43.00,10.10,35.00,1.48,0.62,0.37,5.80
43.00,10.10,48.00,0.82,0.60,0.49,5.30
42.00,10.10,53.00,1.24,0.59,0.55,5.40
49.00,9.50,35.00,0.98,0.56,0.44,7.00
56.00,9.10,30.00,1.00,0.68,0.16,7.40
53.00,9.10,28.00,0.92,0.65,0.21,7.30
41.00,8.90,6.00,0.06,0.62,0.19,10.80
53.00,9.80,30.00,0.07,0.55,0.54,7.50
54.00,9.80,46.00,0.40,0.56,0.61,7.90
56.00,10.00,67.00,2.59,0.61,0.36,8.40
57.00,9.90,47.00,1.19,0.54,0.55,8.40
46.00,8.50,6.00,0.00,0.47,0.72,14.10
50.00,8.50,7.00,0.11,0.43,0.92,13.10
45.00,8.50,7.00,0.16,0.43,0.90,11.90
43.00,8.50,6.00,0.04,0.47,0.69,11.60
63.00,10.20,46.00,0.05,0.44,1.85,7.90
51.00,10.10,40.00,2.19,0.57,0.60,7.70
54.00,10.20,34.00,2.16,0.60,0.41,8.00
